cnpjOrigemDados;dataCadastro;dataAtualizacao;numero;serie;dataEmissao;idPedido;tipo;notaFiscalOrigem;documentoEmpresa;documentoCliente;idNotaFiscalOrigem;idItem;descricaoItem;skuItem;unidadeMedidaItem;quantidadeItem;valorUnitarioItem;valorTotalItem;valorDescProd;valorVendaItem;id;idCliente;cfopItem
Srta. Sílvia Pereira;Félix Xavier;Feliciano Oliveira;;Dra. Dalila Santos;Bernardo Melo;Raul Moreira Neto;Tertuliano Martins;Pedro Braga;Srta. Sílvia Pereira;Mércia Albuquerque;;Natália Braga Jr.;Dalila Silva;Elísio Costa;Emanuel Saraiva;Dra. Júlio César Xavier;Maria Eduarda Saraiva Neto;Roberto Macedo;Nicolas Carvalho;Dra. Sophia Barros;Maria Clara Barros;Fabiano Martins;Gustavo Braga
Valentina Xavier;Lorena Carvalho;Daniel Reis;;Fabrícia Barros;Warley Moreira;Sirineu Moreira;Gustavo Macedo;Paula Batista;Valentina Xavier;Júlio César Franco;;Elisa Souza;Alessandra Reis;Núbia Xavier;Maria Clara Nogueira;Feliciano Santos;Ladislau Reis Jr.;Marcos Reis;Karla Macedo;Maria Cecília Moraes;Carla Melo;Maitê Pereira;Heitor Melo
Sra. Ricardo Barros;Isabel Xavier;Deneval Costa;;Eduarda Moraes;Ana Luiza Reis Filho;Elisa Macedo;Samuel Reis;Raul Xavier;Sra. Ricardo Barros;Anthony Nogueira;;Larissa Silva;Mércia Saraiva;Liz Moraes;Isabel Albuquerque;Rafaela Barros;Lara Souza;Lara Reis Neto;Alessandro Barros;Alice Saraiva;Roberta Nogueira;Lorenzo Martins Neto;Laura Pereira
Ana Laura Batista Neto;Cauã Martins;Enzo Costa;;Félix Batista;Antonella Batista Neto;Manuela Pereira Neto;Frederico Moraes;Sra. Elísio Moraes;Ana Laura Batista Neto;Sra. Fabiano Santos;;Sra. Washington Macedo;Felipe Martins;Lorraine Silva Neto;Célia Moraes;Benjamin Pereira;Yango Carvalho;Lorraine Reis Neto;Fabrício Moraes Filho;Dr. Aline Barros;Maitê Reis;Isabel Silva;Eduardo Costa
Srta. Sílvia Pereira;Félix Xavier;Feliciano Oliveira;;Dra. Dalila Santos;Bernardo Melo;Raul Moreira Neto;Tertuliano Martins;Pedro Braga;Srta. Sílvia Pereira;Mércia Albuquerque;;Natália Braga Jr.;Dalila Silva;Elísio Costa;Emanuel Saraiva;Dra. Júlio César Xavier;Maria Eduarda Saraiva Neto;Roberto Macedo;Nicolas Carvalho;Dra. Sophia Barros;Maria Clara Barros;Fabiano Martins;Gustavo Braga
Valentina Xavier;Lorena Carvalho;Daniel Reis;;Fabrícia Barros;Warley Moreira;Sirineu Moreira;Gustavo Macedo;Paula Batista;Valentina Xavier;Júlio César Franco;;Elisa Souza;Alessandra Reis;Núbia Xavier;Maria Clara Nogueira;Feliciano Santos;Ladislau Reis Jr.;Marcos Reis;Karla Macedo;Maria Cecília Moraes;Carla Melo;Maitê Pereira;Heitor Melo
Sra. Ricardo Barros;Isabel Xavier;Deneval Costa;;Eduarda Moraes;Ana Luiza Reis Filho;Elisa Macedo;Samuel Reis;Raul Xavier;Sra. Ricardo Barros;Anthony Nogueira;;Larissa Silva;Mércia Saraiva;Liz Moraes;Isabel Albuquerque;Rafaela Barros;Lara Souza;Lara Reis Neto;Alessandro Barros;Alice Saraiva;Roberta Nogueira;Lorenzo Martins Neto;Laura Pereira
Ana Laura Batista Neto;Cauã Martins;Enzo Costa;;Félix Batista;Antonella Batista Neto;Manuela Pereira Neto;Frederico Moraes;Sra. Elísio Moraes;Ana Laura Batista Neto;Sra. Fabiano Santos;;Sra. Washington Macedo;Felipe Martins;Lorraine Silva Neto;Célia Moraes;Benjamin Pereira;Yango Carvalho;Lorraine Reis Neto;Fabrício Moraes Filho;Dr. Aline Barros;Maitê Reis;Isabel Silva;Eduardo Costa
Srta. Sílvia Pereira;Félix Xavier;Feliciano Oliveira;;Dra. Dalila Santos;Bernardo Melo;Raul Moreira Neto;Tertuliano Martins;Pedro Braga;Srta. Sílvia Pereira;Mércia Albuquerque;;Natália Braga Jr.;Dalila Silva;Elísio Costa;Emanuel Saraiva;Dra. Júlio César Xavier;Maria Eduarda Saraiva Neto;Roberto Macedo;Nicolas Carvalho;Dra. Sophia Barros;Maria Clara Barros;Fabiano Martins;Gustavo Braga
Valentina Xavier;Lorena Carvalho;Daniel Reis;;Fabrícia Barros;Warley Moreira;Sirineu Moreira;Gustavo Macedo;Paula Batista;Valentina Xavier;Júlio César Franco;;Elisa Souza;Alessandra Reis;Núbia Xavier;Maria Clara Nogueira;Feliciano Santos;Ladislau Reis Jr.;Marcos Reis;Karla Macedo;Maria Cecília Moraes;Carla Melo;Maitê Pereira;Heitor Melo
